date,cnn_fng,vix,vvix,skew,nasdaq_close,kospi_close,sp500_close,russell2k_close,soxx_close,nasdaq_52w_high,kospi_52w_high,sp500_52w_high,russell2k_52w_high,soxx_52w_high,nasdaq_drop_pct,kospi_drop_pct,sp500_drop_pct,russell2k_drop_pct,soxx_drop_pct,tqqq_close,soxl_close,koru_close,smh_close,qqq_close,ewy_close,cnn_trigger,vix_trigger,margin_trigger,signal_count,sell_leverage_trigger,sell_leading_trigger,sell_expert_trigger,sell_signal_count,ratio_cash,ratio_core,ratio_sat,memo,stage
2025-06-06,61.77,16.77,89.45,138.85,19529.95,,6000.36,2132.25,215.96,19529.95,,6000.36,2132.25,215.96,0.0,,0.0,0.0,0.0,36.85,19.11,62.3,251.95,527.37,64.13,0,0,0,0,0,0,0,0,,,,,normal
2025-06-09,63.43,17.16,88.97,139.18,19591.24,2855.77,6005.88,2144.45,221.05,19591.24,2855.77,6005.88,2144.45,221.05,0.0,0.0,0.0,0.0,0.0,37.01,20.51,65.09,256.16,528.14,65.02,0,0,0,0,0,0,0,0,,,,,normal
2025-06-10,64.0,16.95,92.06,141.22,19714.99,2871.85,6038.81,2156.41,225.88,19714.99,2871.85,6038.81,2156.41,225.88,0.0,0.0,0.0,0.0,0.0,37.73,21.81,64.09,261.26,531.64,64.71,0,0,0,0,0,0,0,0,,,,,normal
2025-06-11,64.2,17.26,99.02,141.39,19615.88,2907.04,6022.24,2148.23,225.12,19714.99,2907.04,6038.81,2156.41,225.88,-0.5,0.0,-0.27,-0.38,-0.34,37.34,21.57,66.46,261.07,529.85,65.52,0,0,0,0,0,0,0,0,,,,,normal
2025-06-12,64.6,18.02,103.04,145.6,19662.49,2920.03,6045.26,2140.09,225.43,19714.99,2920.03,6045.26,2156.41,225.88,-0.27,0.0,0.0,-0.76,-0.2,37.58,21.62,68.56,262.33,531.09,66.2,0,0,0,0,0,0,0,0,,,,,normal
2025-06-13,59.54,20.82,113.37,149.65,19406.83,2894.62,5976.97,2100.51,219.56,19714.99,2920.03,6045.26,2156.41,225.88,-1.56,-0.87,-1.13,-2.59,-2.8,36.16,19.97,64.55,256.19,524.42,64.96,0,0,0,0,0,0,0,0,,,,,normal
2025-06-16,61.11,19.11,106.19,156.6,19701.21,2946.66,6033.11,2124.13,226.49,19714.99,2946.66,6045.26,2156.41,226.49,-0.07,0.0,-0.2,-1.5,0.0,37.64,21.82,69.79,262.56,531.72,66.69,0,0,0,0,0,0,0,0,,,,,normal
2025-06-17,57.43,21.6,115.5,154.36,19521.09,2950.3,5982.72,2101.96,224.7,19714.99,2950.3,6045.26,2156.41,226.49,-0.98,0.0,-1.03,-2.53,-0.79,36.52,21.35,64.96,260.78,526.53,65.17,0,0,0,0,0,0,0,0,,,,,normal
2025-06-18,54.29,20.14,106.2,148.41,19546.27,2972.19,5980.87,2112.96,225.61,19714.99,2972.19,6045.26,2156.41,226.49,-0.86,0.0,-1.07,-2.01,-0.39,36.47,21.54,68.45,261.78,526.44,66.38,0,0,0,0,0,0,0,0,,,,,normal
2025-06-20,54.51,20.62,108.86,149.19,19447.41,3021.84,5967.84,2109.27,224.17,19714.99,3021.84,6045.26,2156.41,226.49,-1.36,0.0,-1.28,-2.19,-1.02,35.97,21.14,70.41,259.46,524.29,67.02,0,0,0,0,0,0,0,0,,,,,normal
